"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","sr","outcome","accuracy"
"167","<p> Total Tokens for current block: -2695.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","83","246413","0.0-83.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-104",""
"152","<p> Total Tokens for current block: -2799.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","84","246566","0.0-84.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-99",""
"150","<p> Total Tokens for current block: -2898.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","85","246717","0.0-85.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-99",""
"236","<p> Total Tokens for current block: -2997.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","86","246955","0.0-86.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-102",""
"96","<p> Total Tokens for current block: -3099.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","87","247052","0.0-87.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-99",""
"166","<p> Total Tokens for current block: -3198.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","88","247220","0.0-88.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-101",""
"162","<p> Total Tokens for current block: -3299.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","89","247383","0.0-89.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-100",""
"172","<p> Total Tokens for current block: -3399.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","90","247557","0.0-90.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-100",""
"167","<p> Total Tokens for current block: -3499.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","91","247726","0.0-91.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-101",""
"243","<p> Total Tokens for current block: -3600.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","92","247970","0.0-92.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-104",""
"114","<p> Total Tokens for current block: -3704.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","93","248086","0.0-93.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-102",""
"165","<p> Total Tokens for current block: -3806.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","94","248253","0.0-94.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-98",""
"173","<p> Total Tokens for current block: -3904.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","95","248427","0.0-95.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-97",""
"194","<p> Total Tokens for current block: -4001.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","96","248623","0.0-96.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-104",""
"165","<p> Total Tokens for current block: -4105.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","97","248789","0.0-97.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-99",""
"169","<p> Total Tokens for current block: -4204.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","98","248961","0.0-98.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-104",""
"348","<p> Total Tokens for current block: -4308.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","99","249311","0.0-99.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-104",""
"46","<p> Total Tokens for current block: -4412.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","100","249358","0.0-100.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-100",""
"108","<p> Total Tokens for current block: -4512.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","101","249468","0.0-101.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-96",""
"290","<p> Total Tokens for current block: -4608.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","102","249759","0.0-102.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-99",""
